Unnamed: 0,prompt,source,prompt_no
11,Sue was used to being popular. Her family decided to move during the middle of the year. She had to start a new school. She was nervous about making friends.,roc,Sue var vant til å være populær. Familien hennes bestemte seg for å flytte i midten av året. Hun måtte begynne på en ny skole. Hun var nervøs for å få venner.
12,"I am acquainted with the details because well, it was I who found her dead.",mnli,"Jeg er kjent med detaljene fordi vel, det var jeg som fant henne død."
13,My coworker's boyfriend had heart trouble. One day his son took him to Fenway Park for a ball game. He could not climb up the stairs to his seat.,roc,Kjæresten til kollegaen min hadde hjerteproblemer. En dag tok sønnen ham med til Fenway Park for en ballkamp. Han kunne ikke klatre opp trappene til setet sitt.
14,Carlos got a new book. He started to read it. He wanted to read only a hundred pages. Carlos ended up reading the whole day.,roc,Carlos fikk en ny bok. Han begynte å lese den. Han ville bare lese hundre sider. Carlos endte opp med å lese hele dagen.
15,The road was very slippery when the car hit the lamppost. The nearby residents all came out to see what happened.,roc,Veien var svært glatt da bilen traff lyktestolpen. De nærliggende beboerne kom alle ut for å se hva som skjedde.
16,Tom added a girl randomly on Facebook. She messaged him asking why. They wound up talking for a while. Soon they decided to go on a date.,roc,Tom la til en jente tilfeldig på Facebook. Hun sendte en melding til ham og spurte hvorfor. De endte opp med å snakke en stund. Snart bestemte de seg for å gå på date.
17,Fred had to go to a wedding. He got his black shoes out. Unfortunately his shoes were all dusty. He had to polish them.,roc,Fred måtte i bryllup. Han fikk frem de svarte skoene sine. Dessverre var skoene hans helt støvete. Han måtte pusse dem.
18,"Tuppence quelled him with a stern glance, and stepped inside.",mnli,Tuppence stilte ham med et strengt blikk og gikk inn.
19,Ernest was watching a ballgame. His favorite team was losing. Ernest sat in his chair cursing at the television. The players suddenly made a great play.,roc,Ernest så på en ballkamp. Favorittlaget hans tapte. Ernest satt i stolen og bannet mot fjernsynet. Spillerne gjorde plutselig et flott spill.
20,My drive to work started out great. Every traffic light I got to was green. Then something terrible happened. A construction crew blocked a busy intersection and backed up traffic.,roc,Driven min til jobb startet bra. Hvert trafikklys jeg kom til var grønt. Så skjedde det noe forferdelig. Et anleggsmannskap blokkerte et trafikkert veikryss og rygget trafikken.
21,Kayla's cat was going crazy. Kayla had just given him a bunch of catnip. The cat ran all over the house and climbed the curtains. He was full of energy!,roc,Katten til Kayla holdt på å bli gal. Kayla hadde nettopp gitt ham en haug med kattemynte. Katten løp over hele huset og klatret opp på gardinene. Han var full av energi!
22,"Its coat was pure gold, a perfect match to one of the eagles in his money belt.",mnli,"Pelsen var rent gull, en perfekt match med en av ørnene i pengebeltet hans."
23,"I was an awful mug right up to the time I found that photograph of Annette, and realized that she was Jane Finn.",mnli,"Jeg var et forferdelig krus helt til jeg fant det bildet av Annette, og skjønte at hun var Jane Finn."
24,"Vince began school today. After class, he went to the bookstore to purchase his textbooks. Since he spent all of his money, he couldn't eat lunch.",roc,"Vince begynte på skolen i dag. Etter timen dro han til bokhandelen for å kjøpe lærebøkene sine. Siden han brukte alle pengene sine, kunne han ikke spise lunsj."
25,But where they came from doesn't matter as much as why Helms chose to use them the way he did.,mnli,"Men der de kom fra, betyr ikke det så mye som hvorfor Helms valgte å bruke dem slik han gjorde."
26,Don wanted to surprise his wife Jen for her birthday. Don spent weeks tracking down her old school friends. He was able to talk to many of them.,roc,Don ønsket å overraske kona Jen til bursdagen hennes. Don brukte uker på å spore opp sine gamle skolevenner. Han var i stand til å snakke med mange av dem.
27,The wife had been watching too much HGTV. She decided to renovate her kitchen. She ripped down the wallpaper from the walls. She started painting some cabinets.,roc,Kona hadde sett for mye på HGTV. Hun bestemte seg for å pusse opp kjøkkenet sitt. Hun rev ned tapetet fra veggene. Hun begynte å male noen skap.
28,"They soon found the post office, which was also a sweet and general fancy shop, and knocked at the door of the cottage next to it.",mnli,"De fant snart postkontoret, som også var en søt og generell fancy butikk, og banket på døren til hytta ved siden av."
29,We were very worried about our finances. We started doing everything we could to make money. We struggled to make ends meet. Somehow we managed to survive.,roc,Vi var veldig bekymret for økonomien vår. Vi begynte å gjøre alt vi kunne for å tjene penger. Vi slet med å få endene til å møtes. På en eller annen måte klarte vi å overleve.
30,Irene's family took her to the candle factory. They all wanted to make rainbow-colored candles. Irene wanted to make one that was a strange shape.,roc,Irenes familie tok henne med til lysfabrikken. De ville alle lage regnbuefargede lys. Irene ville lage en som hadde en merkelig form.
31,"The promised they would be together forever. He worked hard investing in their future, paying her college tuition. He paid all of the bills, actually, and took care of everything.",roc,"De lovede at de ville være sammen for alltid.Han jobbet hardt å investere i fremtiden deres, og betalte collegeundervisningen hennes.Han betalte alle regningene, faktisk, og tok seg av alt."
32,"About seven months ago,' the microbe said timidly, and began, this time boldly to hug the blood cell and pound on it, with what must have been its head.",mnli,"For omtrent syv måneder siden,» sa mikroben engstelig, og begynte, denne gangen frimodig, å klemme blodcellen og banke på den, med det som må ha vært hodet."
33,I got a job at a grocery store. I had to watch the cigarette cartons. Someone stole some while I was on break. The manager blamed me for the theft.,roc,Jeg fikk jobb i en matbutikk. Jeg måtte se på sigarettkartongene. Noen stjal noen mens jeg var på pause. Lederen klandret meg for tyveriet.
34,Tom went to the mall close to the holidays. It was packed full of people. As Tom was leaving he forgot exactly where he parked.,roc,"Tom dro til kjøpesenteret like ved høytiden. Det var stappfullt av folk. Da Tom dro, glemte han nøyaktig hvor han parkerte."
35,I'll bet Dad couldn't even get into the old thing.,mnli,Jeg vedder på at far ikke en gang kunne komme inn på den gamle tingen.
36,"The expression on his face did not change, but Tommy caught the flicker of despair in his eyes.",mnli,"Ansiktsuttrykket endret seg ikke, men Tommy fanget fortvilelsens flimring i øynene."
37,Little William here is just aching for exercise!,mnli,Lille William her bare lengter etter trening!
38,"She's a pretty thing, an' she's been a far piece, I'd say.",mnli,"Hun er en pen ting, en 'hun har vært et langt stykke, vil jeg si."
39,"They were building a new hall for it, to be constructed only of natural materials and hand labor, but that was a project that would take long months still.",mnli,"De bygde en ny hall for den, som kun skulle bygges av naturlige materialer og håndarbeid, men det var et prosjekt som fortsatt ville ta lange måneder."
40,"Joseph looked forward to his birthday. He already tasted the chocolate on his taste buds. So when his birthday came, he was sitting with his fork at the ready.",roc,"Joseph gledet seg til bursdagen sin. Han har allerede smakt sjokoladen på smaksløkene. Så da bursdagen hans kom, satt han med gaffelen klar."
41,"I can imagine she would, said Sir James grimly.",mnli,"Det kan jeg tenke meg at hun ville, sa Sir James bistert."
42,"That is all. The examination was over, though I doubted if the Coroner was entirely satisfied with it.",mnli,"Det er alt. Undersøkelsen var over, selv om jeg tvilte på om rettsmedisineren var helt fornøyd med den."
43,"Alec loved to play with his ball. It was blue with yellow stripes. One day, Alec went outside with his ball.",roc,Alec elsket å leke med ballen sin. Den var blå med gule striper. En dag gikk Alec utenfor med ballen sin.
44,He sent two of his riders in first.,mnli,Han sendte to av rytterne inn først.
45,Andrew is on his way home from work. He needs some gas so he pulls into a gas station. He picks up some snacks and a lottery ticket.,roc,"Andrew er på vei hjem fra jobb. Han trenger litt bensin, så han kjører inn på en bensinstasjon. Han henter litt snacks og et lodd."
46,Janice was the best basketball player in her school. She challenged the new girl to a game. The new girl accepted the game.,roc,Janice var den beste basketballspilleren på skolen hennes. Hun utfordret den nye jenta til et spill. Den nye jenta godtok spillet.
47,It was raining hard in Allison's area. She was on her way to work. The road in front of her was flooded.,roc,Det regnet hardt i Allisons område. Hun var på vei til jobb. Veien foran henne ble oversvømmet.
48,I am supposed to take food to a party tomorrow. I had bought all the ingredients for it last week. I spent all day yesterday cooking the food.,roc,Jeg skal ta mat til en fest i morgen.Jeg hadde kjøpt alle ingrediensene til det forrige uke.Jeg tilbrakte hele dagen i går på å lage maten.
49,The bank robber sweated nervously as he walked towards the bank. He felt as if everybody was watching him. It seemed like a good idea up until now.,roc,Bankraneren svettet nervøst da han gikk mot banken. Han følte det som om alle så på ham. Det virket som en god idé frem til nå.
50,"Eric took a vacation to the beach. On the way there, he remembered that he didn't pack any sunscreen. He decided not to go back home to get some.",roc,Eric tok en ferie til stranden. På veien dit husket han at han ikke pakket med seg solkrem. Han bestemte seg for ikke å reise hjem for å hente noe.
51,"Don Cazar had caught up one of the rifles from under a window and had crossed the doorway to look back at the roof of the Casa Grande, calling out an inquiry in another language.",mnli,Don Cazar hadde fanget opp en av riflene fra under et vindu og hadde krysset døråpningen for å se tilbake på taket på Casa Grande og ropte en henvendelse på et annet språk.
52,I went to Tulsa with a friend I met online. He let me live with him at a friend's apartment. We celebrated the year 2000 by getting drunk.,roc,Jeg dro til Tulsa med en venn jeg møtte på nettet.Han lot meg bo sammen med ham i en venns leilighet.Vi feiret år 2000 ved å bli full.
53,"The rats helped Derry out, and in return she sheltered them from the reptilian predators outside.",mnli,"Rottene hjalp Derry ut, og til gjengjeld beskyttet hun dem mot reptilrovdyrene utenfor."
54,But ... Long Canyon ... There was a shade of puzzlement in his voice.,mnli,Men ... Long Canyon ... det var en skygge av forundring i stemmen hans.
55,I somehow feel that in real life one will feel a bit of an ass standing in the street for hours with nothing to do.,mnli,Jeg føler på en eller annen måte at man i det virkelige liv vil føle seg litt av et rumpe som står på gaten i timevis uten noe å gjøre.
56,I sure had me a real snootful an' I guess I was jus' fightin' th' war all over again.,mnli,Jeg hadde sikkert en skikkelig snopete og jeg antar at jeg kjempet krigen på nytt.
57,Billy was very nervous about giving his report in front of the class. The teacher calls the students one right after another. It is Billy's turn.,roc,Billy var veldig nervøs for å gi rapporten sin foran klassen. Læreren ringer elevene rett etter hverandre. Det er Billys tur.
58,"You will notice that the word 'possessed' is spelt first with one 's' and subsequently with two, correctly.",mnli,"Du vil legge merke til at ordet 'besittet' er stavet først med en 'er' og deretter med to, riktig."
59,"The Sons of the Egg seemed to have suffered less, since they greatly out-numbered the others, but they were obviously more shocked by the rising of the sun and the healing of the sky.",mnli,"Eggets sønner så ut til å ha lidd mindre, siden de var langt flere enn de andre, men de var åpenbart mer sjokkert over solens oppgang og himmelens helbredelse."
60,David took his children to the state park to look at the wildlife. They drove around until they saw a group of brown bears mingling.,roc,David tok barna med til statsparken for å se på dyrelivet. De kjørte rundt til de så en gruppe brunbjørner blande seg.
61,Mark had waited weeks to play golf. He got an afternoon free from work. He quickly headed to the golf course.,roc,Mark hadde ventet flere uker på å spille golf. Han fikk en ettermiddag fri fra jobb. Han dro raskt til golfbanen.
62,"With an almighty crash, down it came, and Julius P.",mnli,"Med et allmektig krasj, kom det ned, og Julius P."
63,Niana made a pasta dinner for all her friends. She wanted to be sure she had enough food. So she boiled an entire box of spaghetti noodles.,roc,Niana lagde en pastamiddag til alle vennene hennes. Hun ville være sikker på at hun hadde nok mat. Så hun kokte en hel boks med spaghetti nudler.
64,Tina and her friend Susie wanted to be closer. They decided to make friendship bracelets. Tina thought it was great. When it was done they looked great.,roc,Tina og venninnen Susie ønsket å være nærmere. De bestemte seg for å lage vennskapsarmbånd. Tina syntes det var flott. Da det var gjort så de flotte ut.
65,These? Poirot produced the empty box which had contained powders.,mnli,Disse?Poirot produserte den tomme boksen som hadde inneholdt pulver.
66,"What's more, if this is the target-point, then we are on the estate of a powerful native.",mnli,"Dessuten, hvis dette er målet, er vi på eiendommen til en mektig innfødt."
67,My family went out for dinner one night. My little brother was sick but wanted to go anyway. When we got to the restaurant I heard my little brother sneeze.,roc,"Familien min gikk ut på middag en kveld. Lillebroren min var syk, men ville reise likevel. Da vi kom til restauranten hørte jeg lillebroren min nyse."
68,The candy store was having a sale. Raven wanted to wait in line. Her parents warned her not too. They thought she would never get in.,roc,Godteributikken hadde utsalg. Ravn ville stå i kø. Foreldrene hennes advarte henne om ikke også. De trodde hun aldri ville komme inn.
69,Jorge realized his closet was overflowing. He decided to clean it out and throw away anything he wasn't using. He kept digging and finding more stuff he forgot about.,roc,Jorge skjønte at skapet hans var overfylt.Han bestemte seg for å rense den ut og kaste bort alt han ikke brukte.Han fortsatte å grave og finne flere ting han glemte.
70,Occasionally she referred to her husband over a question of days or dates.,mnli,Noen ganger henviste hun til mannen sin over et spørsmål om dager eller datoer.
71,"They ran him down the drive, and neatly out of the gate.",mnli,"De løp ham nedover stasjonen, og pent ut av porten."
72,"He texted her then hung up the phone. Mattie looked at her phone buzzing, as the notification came through. That was the signal, so she grabbed her purse and left.",roc,"Han sendte henne tekstmeldinger og la deretter på telefonen. Mattie så surrende på telefonen hennes mens varselet kom. Det var signalet, så hun tok vesken og dro."
73,Sam was doing laundry. He forgot about it in the wash. When he remembered it had been in there for hours. It smelled gross and damp.,roc,Sam vasket. Han glemte det i vasken. Da han husket hadde den ligget der i timevis. Det luktet ekkelt og fuktig.
74,The second footman stabbed at Jon with a blood stained spear decorated with a half dozen long-haired scalps.,mnli,Den andre løperen stakk på Jon med et blodfarget spyd dekorert med et halvt dusin langhårede hodebunner.
75,My friend came over to visit me on Saturday. While he was here he accidentally dropped one of my plants.,roc,Vennen min kom over for å besøke meg på lørdag. Mens han var her mistet han ved et uhell en av plantene mine.
76,"Sure enough, about nine o'clock, so he did.",mnli,"Visst nok, rundt klokken ni, så det gjorde han."
77,Bob and Lucy were tired of making the same dinners every night. They decided to take a cooking class together.,roc,Bob og Lucy var lei av å lage de samme middagene hver kveld. De bestemte seg for å ta en matlagingskurs sammen.
78,One day Joe bought a lottery ticket. He didn't expect to win but he did! First he bought a new house. Then he bought a new car.,roc,"En dag kjøpte Joe et lodd. Han forventet ikke å vinne, men det gjorde han! Først kjøpte han nytt hus. Så kjøpte han ny bil."
79,Amy realized that the summer was ending and school would start soon. She made a list of the things she needed to buy.,roc,Amy skjønte at sommeren var over og at skolen snart skulle begynne. Hun laget en liste over tingene hun måtte kjøpe.
80,"The Merchant said, peevishly, ""Why do you keep silence?""",mnli,"Kjøpmannen sa peevisk: ""Hvorfor tier du?"""
81,John was walking down the road. There was a sign that had a picture of a pig with wings. John though it was funny.,roc,John gikk nedover veien. Det var et skilt som hadde et bilde av en gris med vinger. John selv om det var morsomt.
82,My son woke up feeling ill. He had no appetite and didn't feel happy. He laid in bed all day long. He vomited and had diarrhea.,roc,Sønnen min våknet og følte seg syk. Han hadde ingen matlyst og følte seg ikke glad. Han lå i senga hele dagen. Han kastet opp og hadde diaré.
83,His hand moved around while he swung his hips and grimaced.,mnli,Hånden hans beveget seg rundt mens han svingte hoftene og grimaserte.
84,Even now she could almost swear it moved as though some one was behind it.,mnli,Selv nå kunne hun nesten sverge at det beveget seg som om noen sto bak det.
85,Frank's favorite food is french fries. He loves them so much that he always has to order them. One day he heard of a restaurant that had homemade fries.,roc,Franks favorittmat er pommes frites. Han elsker dem så mye at han alltid må bestille dem. En dag hørte han om en restaurant som hadde hjemmelagde pommes frites.
86,"Lisa forgot to read her textbook for History class one day. That very day, the history teacher asked who had read their reading.",roc,Lisa glemte å lese læreboka for historietimen en dag. Samme dag spurte historielæreren hvem som hadde lest opplesningen deres.
87,"Men were coming down the long lines, handing something to the slaves.",mnli,Menn kom nedover de lange køene og ga noe til slavene.
88,"The child wore a cloak of tan canvas, the hood pulled up to protect her face from the sun.",mnli,"Barnet hadde på seg en kappe av brunt lerret, hetten trukket opp for å beskytte ansiktet hennes mot solen."
89,I woke up the other day really sick. I had a horrible cough. I could barely get out of bed. There was no way I was making it to work.,roc,Jeg våknet her om dagen veldig syk. Jeg hadde en fryktelig hoste. Jeg klarte så vidt å komme meg ut av sengen. Det var ingen måte jeg fikk det til å fungere.
90,One day Sharon and her friends went ice skating. Sharon got asked to skate by a boy. She said yes. They had a lot of fun.,roc,En dag gikk Sharon og vennene hennes på skøyter. Sharon ble bedt om å gå på skøyter av en gutt. Hun sa ja. De hadde det veldig gøy.
91,"But whether he felt it or not, there IS such a sensation.",mnli,"Men enten han følte det eller ikke, det ER en slik sensasjon."
92,Quinten wrote a short screenplay for his acting class. He presented the screenplay in front of the class. The class voted his play the best in the class.,roc,Quinten skrev et kort manus for skuespillerklassen sin. Han presenterte manus foran klassen. Klassen kåret hans stykke til det beste i klassen.
93,"To make the play possibilities even more interesting and unpredictable, under the left wrist, there was a built-in operational panel with a choice of setting levels of aggression, bravery, childishness, obedience, intelligence and the need to spend time with a child diagnosed with ADHD.",mnli,"For å gjøre spillemulighetene enda mer interessante og uforutsigbare, under venstre håndledd, var det et innebygd operativt panel med et utvalg av innstillingsnivåer av aggresjon, tapperhet, barniskhet, lydighet, intelligens og behov for å tilbringe tid med et barn diagnostisertmed ADHD."
94,Brayden wanted a bike for his birthday. His dad surprised him one day with a new Mountain bike. It was a lot bigger than his old bike.,roc,Brayden ønsket seg en sykkel til bursdagen sin. Faren hans overrasket ham en dag med en ny terrengsykkel. Den var mye større enn den gamle sykkelen hans.
95,Jerry needed 40 dollars to buy tickets to a concert. He put fliers in his neighbor's mailboxes offering to mow their lawns.,roc,Jerry trengte 40 dollar for å kjøpe billetter til en konsert. Han la løpesedler i naboens postkasser og tilbød seg å klippe plenen deres.
96,My friends came over to my house and wanted to have a bonfire. I told them it was way too hot out but they insisted!,roc,"Vennene mine kom hjem til meg og ønsket å ha et bål.Jeg fortalte dem at det var altfor varmt, men de insisterte!"
97,Kevin bought a new remote control car. He called over his friend to show them the car. Kevin and his friends went to the park to play with the car.,roc,Kevin kjøpte en ny fjernstyrt bil. Han ringte over vennen sin for å vise dem bilen. Kevin og vennene hans dro til parken for å leke med bilen.
98,"We walked up to the great door of Styles, and at once the knowledge came to us that something was wrong.",mnli,"Vi gikk opp til den store døren til stiler, og på en gang kom kunnskapen til oss om at noe var galt."
99,"Yes, sir, it will be about an hour and a half's run.",mnli,"Ja, sir, det blir omtrent en og en halv times kjøring."
100,The army representative called the man. The man described himself as homosexual. The representative hung up. The man called the representative back.,roc,Hærens representant ringte mannen. Mannen beskrev seg selv som homofil. Representanten la på. Mannen ringte representanten tilbake.
101,Emily was almost ready to leave the house. She suddenly realized that she couldn't find her keys. Emily looked everywhere and almost gave up hope.,roc,Emily var nesten klar til å forlate huset. Hun skjønte plutselig at hun ikke kunne finne nøklene sine. Emily så overalt og ga nesten opp håpet.
102,"While the Man Called Office Desk (MCOD, or simply Cod in an alternative version) was writing an intuitive program for the management of empty office desk space in software companies, a thing that nobody had ever expected to happen happened.",mnli,"Mens mannen ringte Office Desk (MCOD, eller ganske enkelt COD i en alternativ versjon) skrev et intuitivt program for styring av tomt kontor -skrivebord i programvareselskaper, skjedde en ting som ingen noen gang hadde forventet å skje."
103,"The woman held up her fist to the man, showing him the triangle spike palm knife she held before he died.",mnli,Kvinnen holdt opp neven mot mannen og viste ham trekantpalmekniven hun holdt før han døde.
104,From Waterloo Boris took the tube as far as Piccadilly Circus.,mnli,Fra Waterloo tok Boris tuben så langt som til Piccadilly Circus.
105,Lucy loved skating. She tried to skate as often as she could. Her coach told her about a competition. Lucy then decided she was going to.,roc,Lucy elsket skøyter.Hun prøvde å skate så ofte hun kunne.Treneren hennes fortalte henne om en konkurranse.Lucy bestemte seg da for at hun skulle.
106,"Well, to begin with, I wasn't after the spoons.'",mnli,"Vel, til å begynne med var jeg ikke ute etter skjeene."
107,Adam was homeless and living in an alley. He ran across a stray dog. Adam gave the dog some of his food.,roc,Adam var hjemløs og bodde i en smug.Han løp over en bortkommen hund.Adam ga hunden noe av maten.
108,He put on his floppy hat over his shaved head and headed out onto the road.,mnli,Han tok på seg den floppy hatten over det barberte hodet og gikk ut på veien.
109,Flora loved music and wanted the perfect band for her wedding. Several people auditioned but she didn't like them at all.,roc,"Flora elsket musikk og ville ha det perfekte bandet til bryllupet hennes. Flere personer var på audition, men hun likte dem ikke i det hele tatt."
110,"Taylor watched the sky darken. She went in and turned on The Weather Channel. Just as she turned it on, they were announcing a tornado warning.",roc,"Taylor så himmelen mørkne. Hun gikk inn og skrudde på The Weather Channel. Akkurat da hun slo den på, kunngjorde de et tornadovarsel."
111,Jay wanted to be an air force pilot just like his dad. He attended the same air force school that his father graduated.,roc,Jay ønsket å bli flyvåpenpilot akkurat som faren sin. Han gikk på den samme luftvåpenskolen som faren ble uteksaminert.
112,Phil was driving down the highway. He was hearing a weird noise from his engine. It was a ticking noise. Phil's car started to smoke.,roc,Phil kjørte nedover motorveien. Han hørte en merkelig lyd fra motoren. Det var en tikkende lyd. Phils bil begynte å ryke.
113,Tricia was a vegan. Therefore it was difficult for her to eat a lot of candy. Most had gelatin in them. Then Tricia found some vegan candy.,roc,Tricia var veganer.Derfor var det vanskelig for henne å spise mye godteri.De fleste hadde gelatin i seg.Da fant Tricia noe vegansk godteri.
114,"The family was taking a trip to Moab, Utah. They were so excited to see the beautiful landscape! They hiked a lot.",roc,"Familien tok en tur til Moab, Utah. De var så spente på å se det vakre landskapet! De gikk mye på tur."
115,Sean and Eric were running for student council president. Sean really wanted to win and told everyone lies about Eric. Some of Eric's friends found out about Sean's lies.,roc,Sean og Eric kjørte for studentrådets president.Sean ville virkelig vinne og fortalte alle løgner om Eric.Noen av Erics venner fant ut om Seans løgner.
116,"JT had his driving test last week. He was nervous for this one, as this was his second attempt. His first attempt ended badly.",roc,"JT hadde førerprøven forrige uke. Han var nervøs for denne, siden dette var hans andre forsøk. Hans første forsøk endte dårlig."
117,"I thought that lawyer chap had quit! 161 Chapter 19 Jane Finn ""MY train got in half an hour ago,"" explained Julius, as he led the way out of the station.",mnli,"Jeg trodde den advokaten hadde sluttet! 161 Kapittel 19 Jane Finn ""MITT tog kom inn for en halvtime siden,"" forklarte Julius mens han ledet veien ut av stasjonen."
118,"Jamie took a plane to Australia. It was a long flight and he was bored. He tried to talk to his neighbor, but they fell asleep.",roc,"Jamie tok et fly til Australia.Det var en lang flytur og han kjedet seg.Han prøvde å snakke med naboen, men de sovnet."
119,Mike was in love with Laura. She did not know about it. Mike was shy to ask her out. One day he found courage and invited her for a dinner.,roc,Mike var forelsket i Laura.Hun visste ikke om det.Mike var sjenert for å spørre henne ut.En dag fant han mot og inviterte henne til en middag.
120,We were famished on our lunch break. We saw a food truck in the parking lot. We walked up to the window. The menu was filled with barbecue foods.,roc,Vi var sultne i lunsjpausen. Vi så en matbil på parkeringsplassen. Vi gikk opp til vinduet. Menyen var fylt med grillmat.
121,Tommy felt cold waves of despair pass over him.,mnli,Tommy kjente kalde bølger av fortvilelse gå over seg.
122,"No matter how perfect his creations seem, it's probably not a good idea to trust them.'",mnli,"Uansett hvor perfekte kreasjonene hans virker, er det sannsynligvis ikke en god idé å stole på dem.'"
123,"Jeremy really wanted his friend Ben to come over after school. When he got off the bus, he asked his mom to call Ben's mom.",roc,"Jeremy ønsket virkelig at vennen hans Ben skulle komme over etter skolen. Da han gikk av bussen, ba han moren om å ringe moren til Ben."
124,"You failed to mention,' Lincoln twitched, 'the four or five dozen of his followers hidden at the front and back of this train.'",mnli,"Du unnlot å nevne,"" rykket Lincoln, ""de fire eller fem dusin av tilhengerne hans gjemt foran og bak på dette toget."""
125,"Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. That way, she could bring her grade average back up.",roc,Ruby fikk en F på vitenskapsoppgaven sin.Hun spurte læreren sin om hun kunne gjøre litt ekstra kreditt.På den måten kunne hun bringe karakteren sin gjennomsnittlig sikkerhetskopi.
126,We either go get them or we only get paid for the skinny one Telek got.,mnli,"Enten går vi og henter dem, eller så får vi bare betalt for den tynne Telek."
127,"From it, he drew a strange, double-bladed knife.",mnli,"Fra den trakk han en merkelig, dobbeltbladet kniv."
128,"Still, it is a possibility to be taken into account.",mnli,Likevel er det en mulighet for å bli tatt i betraktning.
129,Nearly a full generation has passed and none of us who lives in those times speaks of the days when the slaves bled for our town.,mnli,"Nesten en hel generasjon har gått, og ingen av oss som lever på den tiden snakker om dagene da slavene blødde for byen vår."
130,The woman punched hard into the light-skinned Sai Routha's chest.,mnli,Kvinnen slo hardt inn i brystet til den lyshudede Sai Routha.
131,Mary was trying to find the perfect gift for her husband. He was an avid sportsman. She decided to buy him a hunting dog. Mary picked out a puppy.,roc,Mary prøvde å finne den perfekte gaven til mannen sin. Han var en ivrig idrettsmann. Hun bestemte seg for å kjøpe en jakthund til ham. Mary plukket ut en valp.
132,In another moment they were standing in a dusty garret littered with lumber.,mnli,I et annet øyeblikk sto de i en støvete garderobe full av trelast.
133,Abby loves popcorn. She went to the kitchen to make some. All of the popcorn was gone. She was very sad and didn't know what to eat now.,roc,Abby elsker popcorn. Hun gikk på kjøkkenet for å lage litt. Alt av popcorn var borte. Hun var veldig trist og visste ikke hva hun skulle spise nå.
134,"Cathy is an avid collector of Cabbage Patch Dolls. Recently, Cathy saw a rare doll for sale on Ebay.",roc,Cathy er en ivrig samler av Cabbage Patch Dolls. Nylig så Cathy en sjelden dukke til salgs på Ebay.
135,"Topham's arm went about the shoulders under the black-and-silver jacket, drawing Don Cazar into the light, music, and excitement of the cantina.",mnli,"Tophams arm gikk rundt skuldrene under svart-og-sølvjakken, og trakk Don Cazar inn i lyset, musikken og spenningen i kantinaen."
136,"Val has always had rather long hair. A few years ago, she chopped it off. She's been trying to grow it out again. Val is impatient.",roc,Val har alltid hatt ganske langt hår. For noen år siden hogget hun den av. Hun har prøvd å vokse det ut igjen. Val er utålmodig.
137,"If, in spite of my warnings, you make up your mind to go through with it, you will find everything arranged.",mnli,"Hvis du til tross for advarslene mine gjør deg opp for å gå gjennom det, vil du finne alt ordnet."
138,Janet went for a walk in the woods. Along the way she spotted a unique wildflower growing on a cliff. She decided to pick some for her mother.,roc,Janet gikk en tur i skogen. Underveis så hun en unik villblomst som vokste på en klippe. Hun bestemte seg for å velge noen til moren sin.
139,"Janet really wanted to become a dancer, but she's painfully shy and wa. Her dad decided to get her a month of private lessons.",roc,"Janet ønsket virkelig å bli danser, men hun er smertelig sjenert og wa. Faren hennes bestemte seg for å gi henne en måned med privattimer."
140,They asked if I would give another speech- my last had been so inspirational.,mnli,De spurte om jeg ville holde en ny tale - min siste hadde vært så inspirerende.
